epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18336.9,0.71677,0.76678,1.15198,0.79257,0.70152,0.76571,0.57949,0.86913,0.86265,1.23306,0.000205425,0.000205425,0.000205425
43,18769.4,0.70256,0.74953,1.1476,0.8073,0.68892,0.76546,0.57698,0.86741,0.86012,1.2352,0.000200264,0.000200264,0.000200264
44,19202.6,0.70848,0.75667,1.15146,0.79996,0.70247,0.77289,0.58717,0.86833,0.8468,1.24053,0.000195104,0.000195104,0.000195104
45,19635.2,0.70256,0.7397,1.14399,0.80301,0.70122,0.76958,0.58265,0.86872,0.84331,1.23986,0.000189943,0.000189943,0.000189943
46,20068.1,0.68692,0.71661,1.13529,0.7931,0.71217,0.76987,0.58303,0.87396,0.8441,1.24457,0.000184783,0.000184783,0.000184783
47,20500.7,0.68647,0.70982,1.13097,0.80965,0.70692,0.77528,0.5905,0.86123,0.83453,1.22776,0.000179623,0.000179623,0.000179623
48,20933.3,0.68221,0.69391,1.13007,0.80899,0.70509,0.77307,0.58744,0.8589,0.83173,1.23023,0.000174462,0.000174462,0.000174462
49,21366.1,0.67652,0.68433,1.12398,0.79554,0.71184,0.7717,0.58973,0.84912,0.8276,1.2313,0.000169302,0.000169302,0.000169302
50,21798.3,0.6755,0.6793,1.12344,0.81233,0.69512,0.77113,0.58752,0.86244,0.83052,1.238,0.000164142,0.000164142,0.000164142
51,22231.2,0.65921,0.66616,1.1185,0.79821,0.71062,0.77438,0.58908,0.85921,0.82986,1.23578,0.000158981,0.000158981,0.000158981
52,22662.9,0.66166,0.67122,1.11713,0.81149,0.7074,0.77284,0.58752,0.86317,0.82495,1.24303,0.000153821,0.000153821,0.000153821
53,23095.8,0.65909,0.6544,1.10928,0.8096,0.71162,0.77686,0.5953,0.85483,0.82642,1.23788,0.00014866,0.00014866,0.00014866
54,23528.8,0.65022,0.6409,1.10747,0.81708,0.70357,0.77293,0.59021,0.85959,0.83009,1.24024,0.0001435,0.0001435,0.0001435
55,23961.9,0.64319,0.63304,1.10136,0.81304,0.7099,0.7787,0.5979,0.85966,0.8265,1.23312,0.00013834,0.00013834,0.00013834
56,24395.3,0.63622,0.62719,1.10034,0.81431,0.70927,0.77716,0.59535,0.85506,0.82345,1.23898,0.000133179,0.000133179,0.000133179
57,24829.8,0.63365,0.61908,1.09682,0.81861,0.71171,0.77589,0.59359,0.85836,0.82523,1.24032,0.000128019,0.000128019,0.000128019
58,25262.8,0.63247,0.60995,1.09076,0.8276,0.7018,0.77843,0.5985,0.85079,0.82302,1.22899,0.000122859,0.000122859,0.000122859
59,25695.9,0.6202,0.60272,1.09019,0.80996,0.71255,0.77528,0.59398,0.85893,0.82054,1.24355,0.000117698,0.000117698,0.000117698
60,26128.9,0.62504,0.59837,1.08476,0.81354,0.71505,0.77977,0.59849,0.85171,0.81287,1.23856,0.000112538,0.000112538,0.000112538
61,26562.1,0.61207,0.58494,1.08295,0.81634,0.70878,0.77872,0.59846,0.85131,0.80912,1.23566,0.000107378,0.000107378,0.000107378
62,26995.4,0.61091,0.57767,1.08202,0.81054,0.71564,0.77898,0.60064,0.85234,0.81378,1.23825,0.000102217,0.000102217,0.000102217
63,27428.3,0.60402,0.57743,1.0763,0.82317,0.71216,0.78057,0.60186,0.84833,0.81306,1.2346,9.70567e-05,9.70567e-05,9.70567e-05
64,27860.9,0.60099,0.5661,1.07172,0.81071,0.72517,0.7838,0.60337,0.85213,0.80183,1.23169,9.18964e-05,9.18964e-05,9.18964e-05
65,28293.5,0.60034,0.56697,1.06956,0.82554,0.7129,0.78271,0.60161,0.8561,0.80118,1.23632,8.6736e-05,8.6736e-05,8.6736e-05
66,28726.7,0.58831,0.54617,1.06202,0.81482,0.71881,0.78349,0.60299,0.85267,0.8107,1.23531,8.15756e-05,8.15756e-05,8.15756e-05
67,29159.8,0.58671,0.54641,1.06349,0.80729,0.72482,0.78101,0.60151,0.85209,0.8092,1.24041,7.64153e-05,7.64153e-05,7.64153e-05
68,29592.5,0.58366,0.5323,1.06071,0.81869,0.71433,0.77803,0.5982,0.85474,0.81373,1.23899,7.12549e-05,7.12549e-05,7.12549e-05
69,30028,0.57691,0.53206,1.06512,0.82209,0.71433,0.77827,0.59939,0.85002,0.80952,1.24407,6.60945e-05,6.60945e-05,6.60945e-05
70,30461,0.57884,0.53222,1.06111,0.81566,0.71695,0.77802,0.59992,0.85019,0.80882,1.24433,6.09341e-05,6.09341e-05,6.09341e-05
71,30884.9,0.47232,0.33326,0.96651,0.82216,0.70886,0.7744,0.59604,0.8535,0.82177,1.25458,5.57738e-05,5.57738e-05,5.57738e-05
72,31308,0.46544,0.32066,0.95898,0.82122,0.70667,0.77655,0.59956,0.84713,0.82184,1.24813,5.06134e-05,5.06134e-05,5.06134e-05
73,31730.9,0.45791,0.3127,0.95258,0.81595,0.71378,0.77412,0.59764,0.84974,0.82629,1.25524,4.5453e-05,4.5453e-05,4.5453e-05
74,32154.2,0.45087,0.30574,0.94884,0.81316,0.71923,0.7755,0.59781,0.85175,0.82545,1.25681,4.02926e-05,4.02926e-05,4.02926e-05
75,32577.3,0.44395,0.29452,0.94302,0.81391,0.72055,0.77613,0.59789,0.84952,0.82766,1.25552,3.51322e-05,3.51322e-05,3.51322e-05
76,33000.9,0.44235,0.29646,0.94177,0.83544,0.70565,0.7752,0.59593,0.85369,0.82994,1.25862,2.99719e-05,2.99719e-05,2.99719e-05
77,33424.6,0.43511,0.28528,0.93631,0.82439,0.71578,0.77564,0.59722,0.85175,0.82789,1.2568,2.48115e-05,2.48115e-05,2.48115e-05
78,33848.5,0.43783,0.28893,0.94061,0.83769,0.70205,0.77495,0.59843,0.85054,0.82321,1.25516,1.96511e-05,1.96511e-05,1.96511e-05
79,34272.5,0.42764,0.28113,0.93666,0.80729,0.72499,0.77511,0.5987,0.84955,0.82786,1.25714,1.44908e-05,1.44908e-05,1.44908e-05
80,34695.2,0.42589,0.27539,0.92953,0.81309,0.72008,0.77482,0.59825,0.84919,0.82709,1.25657,9.33037e-06,9.33037e-06,9.33037e-06
